"skills","job_count","avg_yearly_salary","median_yearly_salary","min_salary","max_salary","salary_std_dev","salary_premium_percent"
"pytorch","20","125226.20","107000.00","70000.0","220000.0","41686.62","33.40"
"perl","20","124685.75","119550.00","56700.0","186500.0","37720.94","32.82"
"kafka","39","123076.06","112690.00","51014.0","204584.5","35746.21","31.11"
"tensorflow","24","120646.83","105000.00","77500.0","198000.0","36846.88","28.52"
"cassandra","11","118406.68","111175.00","53014.0","204584.5","48984.70","26.13"
"atlassian","15","117965.60","102500.00","65000.0","190000.0","41335.76","25.66"
"scala","59","115479.53","111175.00","50000.0","234000.0","40721.80","23.01"
"confluence","62","114153.12","111175.00","57500.0","189309.0","27806.63","21.60"
"pyspark","49","114057.87","111175.00","53014.0","255829.5","36591.54","21.50"
"mongodb","26","113607.71","111837.50","48000.0","204584.5","41209.77","21.02"
"mongodb","26","113607.71","111837.50","48000.0","204584.5","41209.77","21.02"
"gcp","78","113065.48","111175.00","45000.0","254000.0","36331.11","20.44"
"splunk","15","112927.60","125000.00","51014.0","165000.0","31556.00","20.29"
"databricks","102","112880.74","110000.00","50000.0","255829.5","35347.96","20.24"
"airflow","70","112692.79","111175.00","51014.0","200000.0","30667.44","20.04"
"spark","186","111593.35","111175.00","35000.0","234000.0","39384.13","18.87"
"shell","44","111496.45","119575.00","51014.0","165000.0","25465.05","18.77"
"unix","37","111123.32","110000.00","67818.0","170000.0","28289.54","18.37"
"hadoop","140","110888.27","111175.00","35000.0","232423.0","36102.26","18.12"
"pandas","90","110767.07","102500.00","35000.0","255829.5","42179.58","17.99"
"snowflake","240","110584.30","110120.05","53014.0","235000.0","30256.94","17.80"
"linux","57","109881.15","111800.00","50000.0","194500.0","35643.99","17.05"
"phoenix","23","109259.09","115000.00","52500.0","138640.0","25641.99","16.39"
"php","29","109051.51","95000.00","55000.0","186500.0","39481.09","16.17"
"neo4j","12","108646.42","95000.00","67500.0","185000.0","33495.99","15.73"
